"fp","target","rank","repeat"
"rf_rdk7","852","1","44"
"rf_rdk7","852","1","45"
"rf_rdk7","852","1","46"
"rf_rdk7","852","1","47"
"rf_rdk7","852","1","48"
"rf_rdk7","852","1","49"
"rf_rdk7","852","1","50"
"rf_rdk7","858","1","1"
"rf_rdk7","858","1","2"
"rf_rdk7","858","1","3"
"rf_rdk7","858","1","4"
"rf_rdk7","858","1","5"
"rf_rdk7","858","1","6"
"rf_rdk7","858","1","7"
"rf_rdk7","858","1","8"
"rf_rdk7","858","1","9"
"rf_rdk7","858","1","10"
"rf_rdk7","858","1","11"
"rf_rdk7","858","1","12"
"rf_rdk7","858","1","13"
"rf_rdk7","858","1","14"
"rf_rdk7","858","1","15"
"rf_rdk7","858","1","16"
"rf_rdk7","858","1","17"
"rf_rdk7","858","1","18"
"rf_rdk7","858","1","19"
"rf_rdk7","858","1","20"
"rf_rdk7","858","1","21"
"rf_rdk7","858","1","22"
"rf_rdk7","858","1","23"
"rf_rdk7","858","1","24"
"rf_rdk7","858","1","25"
"rf_rdk7","858","1","26"
"rf_rdk7","858","1","27"
"rf_rdk7","858","1","28"
"rf_rdk7","858","1","29"
"rf_rdk7","858","1","30"
"rf_rdk7","858","1","31"
"rf_rdk7","858","1","32"
"rf_rdk7","858","1","33"
"rf_rdk7","858","1","34"
"rf_rdk7","858","1","35"
"rf_rdk7","858","1","36"
"rf_rdk7","858","1","37"
"rf_rdk7","858","1","38"
"rf_rdk7","858","1","39"
"rf_rdk7","858","1","40"
"rf_rdk7","858","1","41"
"rf_rdk7","858","1","42"
"rf_rdk7","858","1","43"
"rf_rdk7","858","1","44"
"rf_rdk7","858","1","45"
"rf_rdk7","858","1","46"
"rf_rdk7","858","1","47"
"rf_rdk7","858","1","48"
"rf_rdk7","858","1","49"
"rf_rdk7","858","1","50"
"rf_rdk7","859","1","1"
"rf_rdk7","859","1","2"
"rf_rdk7","859","1","3"
"rf_rdk7","859","1","4"
"rf_rdk7","859","1","5"
"rf_rdk7","859","1","6"
"rf_rdk7","859","1","7"
"rf_rdk7","859","1","8"
"rf_rdk7","859","1","9"
"rf_rdk7","859","1","10"
"rf_rdk7","859","1","11"
"rf_rdk7","859","1","12"
"rf_rdk7","859","1","13"
"rf_rdk7","859","1","14"
"rf_rdk7","859","1","15"
"rf_rdk7","859","1","16"
"rf_rdk7","859","1","17"
"rf_rdk7","859","1","18"
"rf_rdk7","859","1","19"
"rf_rdk7","859","1","20"
"rf_rdk7","859","1","21"
"rf_rdk7","859","1","22"
"rf_rdk7","859","1","23"
"rf_rdk7","859","1","24"
